Date,Publication,Country,Country2,Country3,Topic,Headline,Link
2026-05-21,Guardian,USA,,,Travel restrictions,US curbs on travelers exposed to deadly viruses may infringe rights and deter volunteers,https://www.theguardian.com/us-news/2026/may/21/us-travel-restriction-ebola-hantavirus-impacts
2026-05-21,Guardian,USA,,,Travel restrictions,"Passenger from Congo boards flight 'in error', prompting diversion to Canada amid Ebola outbreak",https://www.theguardian.com/us-news/2026/may/21/congo-canada-passenger-flight-diversion-ebola
2026-05-21,Guardian,USA,,,Travel restrictions,"Ebola: US ban on travellers from DRC, Uganda or South Sudan 'not the solution'",https://www.theguardian.com/global-development/2026/may/21/ebola-us-ban-travellers-drc-uganda-south-sudan
2026-05-22,Guardian,DRC,,,Epidemic,Are we heading for another Ebola crisis? - podcast,https://www.theguardian.com/news/audio/2026/may/22/are-we-heading-for-another-ebola-crisis-podcast
2026-05-22,Guardian,None,,,Epidemic,Digested week: memories of Covid resurface with hantavirus and Ebola news,https://www.theguardian.com/uk-news/2026/may/22/digested-week-memories-covid-resurface-hantavirus-ebola-news
2026-05-22,Guardian,DRC,,,Epidemic,Suspected Ebola cases triple in a week as WHO warns of rapid spread in DRC,https://www.theguardian.com/global-development/2026/may/22/suspected-ebola-cases-triple-in-a-week-as-who-warns-of-rapid-spread-in-drc
2026-05-23,Guardian,USA,,,World cup,DRC World Cup squad ordered to isolate before entry to US due to Ebola outbreak,https://www.theguardian.com/football/2026/may/23/dcr-world-cup-squad-isolate-ebola-outbreak-congo-united-states
2026-05-23,Guardian,DRC,,,Epidemic,Every health facility said they were full': alarm over rapid spread of Ebola in DRC,https://www.theguardian.com/world/2026/may/23/ebola-virus-spread-drc-democratic-republic-of-congo
2026-05-23,Guardian,USA,,,Travel restrictions,White House pauses removal of detainees to DRC as Ebola outbreak widens,https://www.theguardian.com/world/2026/may/23/white-house-pauses-detainee-removal-drc-ebola
2026-05-23,Guardian,USA,,,Travel restrictions,US temporarily bans green-card holders from entering country from African nations,https://www.theguardian.com/us-news/2026/may/23/us-green-card-holders-ebola-africa
2026-05-24,Guardian,USA,,,Funding/aid,US voters support HIV/Aids relief - will Trump's cuts backfire in the midterms?,https://www.theguardian.com/us-news/2026/may/24/hiv-aids-trump-midterms
